cell                                     n     exp     t  defl    PF   maxDD  GATE
NZDJPY.saleh_turtle.L                  426  +0.064  0.92 -0.58  1.10   -39.3  fail
NZDJPY.saleh_turtle.S                  362  +0.046  0.61 -0.89  1.07   -16.3  fail
NZDJPY.saleh_kama_dir.L               1290  -0.000 -0.01 -1.51  1.00   -48.7  fail
NZDJPY.saleh_kama_dir.S               1285  -0.016 -0.43 -1.93  0.97   -78.0  fail
NZDJPY.saleh_kama_er.L                1098  +0.007  0.15 -1.35  1.01   -41.0  fail
NZDJPY.saleh_kama_er.S                1097  -0.005 -0.13 -1.63  0.99   -61.4  fail
NZDJPY.saleh_gator_dir.L              1074  -0.021 -0.51 -2.01  0.97   -41.8  fail
NZDJPY.saleh_gator_dir.S               978  -0.051 -1.27 -2.77  0.92   -89.6  fail
NZDJPY.saleh_gator_adx.L               498  -0.082 -1.39 -2.89  0.87   -49.1  fail
NZDJPY.saleh_gator_adx.S               658  +0.010  0.19 -1.31  1.02   -46.0  fail
NZDJPY.saleh_gator_cmo.L               818  -0.030 -0.66 -2.16  0.95   -40.3  fail
NZDJPY.saleh_gator_cmo.S               753  -0.029 -0.62 -2.12  0.95   -66.1  fail
NZDJPY.saleh_gator_rs.L                486  -0.083 -1.37 -2.87  0.87   -51.1  fail
NZDJPY.saleh_gator_rs.S                442  -0.056 -0.95 -2.45  0.91   -44.5  fail
NZDJPY.saleh_gator_htf.L               755  -0.077 -1.64 -3.14  0.88   -59.8  fail
NZDJPY.saleh_gator_htf.S               563  -0.046 -0.85 -2.35  0.93   -63.3  fail
CHFJPY.saleh_squeeze.L                  65  -0.171 -0.91 -2.41  0.77   -19.0  fail
